section,index,refs,original_bytes,soft_limit_bytes,original,translated
2,3,,84,83,巫师罗宁：我潜心研究魔法，这里的物品对您的帮助绝对很大。,Phu thuy Ronin: Toi nghien cuu phep. Do o day se giup anh rat nhieu.
2,4,,141,140,坤桑：我是铁匠坤桑，负责为勇士岛上的勇士打造和强化装备，打造和强化材料可以在野外通过打怪获得。,Kunsang: Toi la tho ren Kunsang. Toi ren va cuong hoa do cho dung si. Vat lieu nhan duoc khi danh quai ngoai dong.
2,5,,60,59,球星法布：小伙子喜欢足球吗？猜猜我是谁？,Cau thu Fab: Cau thich bong da chu? Doan xem ta la ai?
2,6,,18,17,费洛克：……,Ferok:...
2,7,,90,89,球星法布：我的两位队员在一次旅途中离散了，能帮我找到他们吗？,Cau thu Fab: Hai dong doi cua ta lac mat tren duong. Giup ta tim ho nhe?
2,8,,93,92,劳拉：在此岛上做生意真不容易啊，何时才能找到自己满意的工作呢？,Laura: Buon ban tren dao nay that kho. Bao gio moi tim duoc viec vua y?
2,9,,108,107,流浪者：你好，勇士，欢迎来到一个新的国度，在这里你将体验非同一般的感觉。,"Lang du: Chao dung si. Chao mung den xu la, noi anh se co cam giac khac thuong."
2,10,37 2 5 40 3 0,123,122,流浪者：此岛周围危险重重，所多人都被困在了这里，要是寻找出路的话，还得去找村长姜。,"Lang du: Quanh dao rat nguy, nhieu nguoi ket o day. Muon tim loi ra, hay gap truong lang Jiang."
2,11,,162,161,流浪者：此岛虽不大，但样样俱全，我是负责装备买卖，村落最东方的坤桑据说曾经是个猎人，但他现在做起了铁匠生意。,"Lang du: Dao nho nhung du thu. Toi ban trang bi. Kunsang phia dong tung la tho san, gio lam tho ren."
2,12,,36,35,流浪者：进来看看装备吧。,Lang du: Vao xem trang bi di.
2,13,,78,77,村长姜：咳，咳，你是新来的吧，说吧，准备找什么工作？,"Jiang: Khuc khuc, cau moi den ha? Noi di, muon tim viec gi?"
2,14,,63,62,费洛克：找工作？喂，老头，这里是什么地方？,"Ferok: Tim viec? Lao gia, day la noi nao?"
2,15,,60,59,村长姜：年轻人，不要急躁，听我慢慢说来。,"Jiang: Tre tuoi, dung nong. Nghe ta noi da."
2,16,,156,155,村长姜：这里是勇士村落，迷失者避风的港湾，凡是来到这里的人都是迷失者，我是这里的村长姜，负责接待迷失者。,"Jiang: Day la lang Dung Si, ben cang cho ke lac loi. Ai den day deu la ke lac loi. Ta la truong lang Jiang, phu trach don tiep."
2,17,,72,71,费洛克：迷失者？听起来很奇特，但我可不是迷失者。,"Ferok: Ke lac loi? Nghe la day, nhung toi khong phai ke lac loi."
2,18,,57,56,村长姜：你虽不是迷失者，但你是迷路者。,"Jiang: Cau khong lac loi, nhung dang lac duong."
2,19,,123,122,村长姜：当迷失者来到我们勇士岛的时候，生存就是他们首要解决的问题，他们都会来找我。,"Jiang: Khi ke lac loi den dao Dung Si, song sot la viec dau tien. Ho deu den tim ta."
2,20,,255,254,村长姜：流浪者布克在勇士岛负责装备买卖；坤桑曾经是名猎人，但现在他做起了铁匠生意；巫师罗宁卖起了特殊物品；劳拉，宠物商人。还有最近来的几个迷失者，都在寻找适合他们的工作。,"Jiang: Book lo mua ban do; Kunsang tung la tho san, nay lam tho ren; phu thuy Ronin ban do dac biet; Laura ban thu cung. May ke moi den cung dang tim viec hop minh."
2,21,,129,128,费洛克：（在此岛上生存还是问题，暂且问问他。）听起来不错啊，您把我们三个都找份工作吧。,"Ferok: (Song tren dao nay con la van de, cu hoi ong ta.) Nghe cung duoc. Xin tim viec cho ca ba chung toi."
2,22,10 2 5 12 3 0 25 2 5 26 3 0,114,113,村长姜：三个？你是说爱伦和那任性但有点可爱的大小姐詹吧，你们可刚到岛上不久。,Jiang: Ba nguoi? Y cau la Ailen va tieu thu Jan bung binh ma dang yeu? Cac cau moi toi dao chua lau.
2,23,,198,197,费洛克：对，就是她们，我和爱伦在勇士岛附近遇到了詹，就带她一起来了，她虽然任性了点，但想想大小姐都是那种脾气，在我看来她还是不错的。,"Ferok: Dung, la ho. Toi va Ailen gap Jan gan dao Dung Si nen dua co ay theo. Co ay hoi ngang, nhung tieu thu nao chang the; toi thay co ay cung tot."
2,24,,219,218,村长姜：年轻人，现在工作不好找啊，我们岛上还有很多人是无业游民呢，不过看你和科勒斯、爱伦都非同一般，要是帮我解决最近岛内的问题，也许我会考虑考虑。,"Jiang: Tre tuoi, gio viec kho tim. Dao ta con nhieu nguoi that nghiep. Nhung thay cau, Koles va Ailen khac thuong, neu giup ta xu ly rac roi tren dao, ta se can nhac."
2,25,,81,80,费洛克：快说什么问题吧，对我探险家费洛克来说都是小事！,"Ferok: Noi van de di. Voi nha tham hiem Ferok, deu la viec nho!"
2,26,,204,203,村长姜：外滩上的变异蟹是我们目前最大的威胁，许多岛民都遭受过他们的伤害，前往外滩清除那里的变异蟹，你可以与旁边的热气球对话传送到大地图。,"Jiang: Cua bien co cua dot bien, moi de doa lon nhat. Nhieu dan dao bi hai. Den cua bien diet chung. Noi chuyen voi khinh khi cau de toi Map lon."
2,27,,27,26,费洛克：我这就去。,Ferok: Toi di ngay.
2,28,,219,218,村长姜：等等，迷失者寻找自我的时候，丢下了许多难题等待勇士去解决，现在我把它们归类成任务了，你可以在我这接些支线任务，当然完成有时会给很好的奖励。,"Jiang: Khoan. Khi ke lac loi tim lai ban than, ho de lai nhieu bai toan cho dung si. Ta xep thanh NV phu. Cau co the nhan o day; hoan thanh se co thuong tot."
2,29,,117,116,村长姜：记住，任务有等级区别，星级越高的任务越难完成，但完成后给的奖励很可观！,"Jiang: Nho, NV co cap sao. Sao cang cao cang kho, nhung phan thuong cang lon!"
2,30,,24,23,费洛克：知道啦！,Ferok: Biet roi!
2,31,,87,86,村长姜：这些该死的变异蟹今天终于得到了教训，谢谢你，勇士！,"Jiang: Dam cua dot bien dang ghet cuoi cung da bi day do. Cam on, dung si!"
2,32,,99,98,费洛克：这些小问题对我来说真是太简单了，这下该答应我们的要求了吧？,Ferok: May viec nho nay qua de voi toi. Gio ong chap nhan yeu cau cua chung toi chu?
2,33,,27,26,村长姜：咳，咳……,"Jiang: Khuc, khuc..."
2,34,,165,164,村长姜：勇士身手了得，我们最近又越到更大的麻烦了，而且此事必须尽快解决，因为它关联到我们岛上每个人的生命安全。,"Jiang: Dung si co tai. Gan day lai co rac roi lon hon, phai giai quyet som vi lien quan sinh mang moi nguoi tren dao."
2,35,,36,35,费洛克：啊，快说什么事？,"Ferok: A, noi nhanh viec gi?"
2,36,,273,272,村长姜：勇士岛由很多岛屿组成，北方的冰峰雪域、中部的夜色岛、下方的艾尔森林和扎昆山脉都危险重重，最近我们这里的水位有所上升，我怀疑是北方的冰峰雪域的雪在融化，还是要勇士前去查明原因。,"Jiang: Dao Dung Si gom nhieu dao. Phia bac la vung tuyet, giua la Dao Dem, duoi la Rung Ael va nui Zakun, deu nguy hiem. Nuoc gan day dang dang. Ta nghi tuyet phia bac tan chay. Can cau di dieu tra."
2,37,,84,83,费洛克：冰山？听起来很好玩的样子，我这就起程去冰峰雪域。,Ferok: Bang son? Nghe vui day. Toi se toi vung tuyet ngay.
2,38,,96,95,村长姜：冰封雪域就在地图的最北方，与热气球对话即可传送到大地图。,Jiang: Vung tuyet o cuc bac Map. Noi voi khinh khi cau de toi Map lon.
2,39,,81,80,费洛克：村长，问题解决了，万年冰王已经败在了我的手下。,"Ferok: Truong lang, xong roi. Bang Vuong van nam da thua duoi tay toi."
2,40,,147,146,村长姜：咳，咳，我看未必，想那万年冰王有何能耐让冰山融化？一定是某种强大熔岩之力能量才能使其融化。,"Jiang: Khuc, ta nghi chua chac. Bang Vuong sao co the lam bang tan? Phai co nang luong dung nham manh nao do."
2,41,,69,68,费洛克：熔岩之力？您的意思是万年冰王还有同伙？,Ferok: Suc dung nham? Y ong la Bang Vuong co dong bon?
2,42,,168,167,村长姜：不错，光凭借冰王一人，难以让冰封千年甚至万年的冰山融化，所以一定是有另外一种具有强大火之力的怪物帮助他。,Jiang: Dung. Mot minh Bang Vuong kho lam bang ngan nam tan. Chac co quai vat lua manh khac giup no.
2,43,,156,155,费洛克：这倒是，对了村长，在我和万年冰王交战之前它好像说了什么强大的熔岩之力、伟大的哈斯曼尼陛下什么的。,"Ferok: Dung roi. Truoc tran dau, no co noi ve suc dung nham va be ha Hasmani vi dai gi do."
2,44,,66,65,村长姜：看来冥冥中自有定数，该来的终于来了。,"Jiang: Xem ra so menh da dinh, dieu phai den da den."
2,45,,42,41,费洛克：村长，这是什么意思？,"Ferok: Truong lang, vay la sao?"
2,46,,165,164,村长姜：勇士岛自古就是西国的一部分，但对它垂涎已久的哈斯曼尼一直想占领这里，我们的先人打败过很多次他们的进攻。,Jiang: Dao Dung Si tu xua thuoc Tay Quoc. Hasmani tham muon noi nay tu lau; to tien ta da danh lui chung nhieu lan.
2,47,,141,140,村长姜：传说哈斯曼尼在南方的扎昆山脉地下建造了一座宏伟的地下宫殿，潜伏千年的他终于还是露面了。,Jiang: Truyen rang Hasmani xay cung ngam do so duoi nui Zakun phia nam. Ke an minh ngan nam cuoi cung da lo dien.
2,48,11 2 5 12 3 0,48,47,爱伦：费洛克，不好了，詹不见了。,"Ailen: Ferok, nguy roi, Jan mat tich."
2,49,,36,35,费洛克：啊，出了什么事？,"Ferok: A, co chuyen gi?"
2,50,,123,122,爱伦：昨天说好和她一起去下方的艾尔森林去游玩，她先去了，可我到那就不见了她的身影。,"Ailen: Hom qua hen di Rung Ael voi co ay. Co ay di truoc, nhung toi toi noi thi khong thay dau."
2,51,,141,140,村长姜：此事也许和哈斯曼尼有关，她既然是西国的某大小姐也就是哈斯曼尼的敌人，可能被作为人质了。,"Jiang: Viec nay co the lien quan Hasmani. Co ay la tieu thu Tay Quoc, tuc ke thu cua Hasmani, co the da bi bat lam con tin."
2,52,,30,29,费洛克：那该怎么办？,Ferok: Vay phai lam sao?
2,53,,96,95,村长姜：还是到艾尔森林去查查那里的情况，可能被困在那里也说不定。,Jiang: Hay den Rung Ael xem tinh hinh. Co the co ay bi ket o do.
2,54,,39,38,费洛克：我这就去艾尔森林。,Ferok: Toi se den Rung Ael.
2,55,,57,56,村长姜：大地图右下方艾尔森林已经开启。,Jiang: Rung Ael o goc duoi phai Map lon da mo.
2,56,,66,65,费洛克：村长，我在艾尔森林没有找到詹的下落。,"Ferok: Truong lang, toi khong tim thay Jan o Rung Ael."
2,57,,123,122,村长姜：勇士，你已经尽力了，爱伦似乎发现了一些眉目，她已经去了中部的夜色岛查看了。,"Jiang: Dung si, cau da het suc. Ailen hinh nhu tim ra dau moi va da den Dao Dem o giua de xem."
2,58,,108,107,费洛克：夜色岛？早就听说那里是幻灵出没之地，爱伦她怎么能独自一人去哪里？,Ferok: Dao Dem? Nghe noi co ao linh. Sao Ailen co the di mot minh?
2,59,,129,128,村长姜：的确如此，哪里的幻灵变幻莫测，肉眼是无法分辨的，我苦苦劝他不要去，他还是不听。,"Jiang: Dung vay. Ao linh bien hoa kho luong, mat thuong kho nhan ra. Ta can ma co ay van di."
2,60,,39,38,费洛克：不行，我要去救她！,"Ferok: Khong duoc, toi phai cuu co ay!"
2,61,,192,191,村长姜：要想去夜色岛必须得找到看穿幻灵虚实之物，此物名通天眼，可在铁匠桑坤处打造，当你收集到所有材料时可与铁匠对话以打造通天眼。,"Jiang: Muon toi Dao Dem, can vat nhin thau ao linh, goi la Thien Nhan. Co the ren o cho Kunsang. Du vat lieu thi noi voi tho ren de che tao."
2,62,,57,56,费洛克：我这就去寻找打造通天眼的材料！,Ferok: Toi di tim vat lieu ren Thien Nhan!
2,63,,78,77,村长姜：通天眼打造完成了，快快去夜色岛去看看情况吧！,Jiang: Thien Nhan da xong. Mau toi Dao Dem xem tinh hinh!
2,64,,54,53,村长姜：大地图中部的夜色岛已经开启！,Jiang: Dao Dem o giua Map lon da mo!
2,65,,75,74,费洛克：遭了，我在夜色岛并没有发现詹和爱伦的下落！,"Ferok: Te roi, o Dao Dem toi khong thay Jan hay Ailen!"
2,66,,63,62,村长姜：看来他们真的被哈斯曼尼陛下抓去了。,Jiang: Xem ra ho that su bi be ha Hasmani bat roi.
2,67,,30,29,费洛克：我要怎么做？,Ferok: Toi phai lam gi?
2,68,,168,167,村长姜：哈斯曼尼陛下的两大得力助手之一的地狱之王正在蠢蠢欲动，已经查明了上次冰山融化一事就是他和万年冰王的阴谋。,"Jiang: Mot trong hai tay sai dac luc cua Hasmani, Dia Nguc Vuong, dang dong day. Viec bang tan lan truoc la am muu cua no va Bang Vuong."
2,69,,45,44,费洛克：我这就去杀死地狱之王。,Ferok: Toi se giet Dia Nguc Vuong.
2,70,46 2 3 49 3 0,168,167,村长姜：孩子，不要着急，鲁莽是解决不了问题的，地狱之王栖息在地下深处，那里酷热无比，唯有佩戴冰晶锁方可安然无恙。,"Jiang: Tre con, dung voi. Hap tap khong giai quyet duoc. Dia Nguc Vuong o sau long dat, nong khung khiep. Phai deo Khoa Bang moi an toan."
2,71,,48,47,费洛克：怎么样才能得到冰晶锁呢？,Ferok: Lam sao co Khoa Bang?
2,72,,111,110,村长姜：你可以在铁匠桑坤处查看，当你收集到所有的材料时就可以在他那里打造。,"Jiang: Cau co the xem o cho tho ren Kunsang. Khi du vat lieu, ong ay se che tao cho cau."
2,73,,156,155,村长姜：冰晶锁终于打造完成了，可以去挑战地狱之王了，从大地图的下方就可进入。（提示：扎昆山脉已经开启。）,"Jiang: Khoa Bang da xong, co the thach dau Dia Nguc Vuong. Vao tu phia duoi Map lon. (Goi y: nui Zakun da mo.)"
2,74,,75,74,费洛克：这次一定要铲除哈斯曼尼陛下的另一只“狗”。,Ferok: Lan nay phai diet con cho khac cua be ha Hasmani.
2,75,,42,41,村长姜：今天的任务都在这里。,Jiang: NV hom nay deu o day.
2,76,,61,60,进入大地图后，2、4、6、8控制小人物的移动。,"Vao Map lon, dung 2,4,6,8 de di chuyen."
2,77,,75,74,村长姜：迷失者避风的港湾，勇士岛一定会坚持下去的。,Jiang: Ben cang cho ke lac loi. Dao Dung Si se tiep tuc dung vung.
2,78,,54,53,流浪者：记住一点，勇士的“皮”要厚！,"Lang du: Nho mot dieu, dung si phai co da day!"
2,79,,45,44,巫师罗宁：曾经的我也和你一样。,Phu thuy Ronin: Ta cung tung nhu cau.
3,0,,36,35,野猪：哼……（野猪叫声）,Heo rung: Hun... (tieng heo)
3,1,,60,59,野人甲：快看，有野猪，今天不会饿肚子了。,"Nguoi rung A: Nhin kia, co heo rung. Hom nay khong doi roi."
3,2,,30,29,野人乙：小猪，别跑。,"B: Heo con, dung chay."
3,3,,24,23,野猪：哼……哼哼,Heo: Hun...hun
3,4,0 2 3 13 3 0,39,38,阳光明媚的艾尔森林深处……,Sau trong Rung Ael nang dep...
3,5,,66,65,费洛克：穿过艾尔森林就可以到哈斯曼尼城堡了。,Ferok: Qua Rung Ael la toi lau dai Hasmani.
3,6,,105,104,爱伦：我们快点吧，科勒斯快支持不住了，我能感觉到他的力量正在慢慢减弱！,Ailen: Nhanh len. Koles sap khong tru noi; toi cam thay suc manh anh ay dang yeu di!
3,7,,69,68,费洛克：爱伦，你说的对，向哈斯曼尼城堡进发吧。,"Ferok: Ailen, em noi dung. Tien den lau dai Hasmani nao."
3,8,,102,101,爱伦：等等，费洛克，我能感觉到这里的危险，看，野人，让我来消灭他们！,"Ailen: Khoan, Ferok. Toi cam thay nguy hiem o day. Nhin, nguoi rung! De toi diet chung."
3,9,,57,56,费洛克：看来我们的爱伦是越来越强大了。,Ferok: Xem ra Ailen cua chung ta ngay cang manh.
3,10,,81,80,爱伦：那是当然，我们师兄妹三人一定会完成师傅的使命的。,Ailen: Tat nhien. Ba huynh muoi ta nhat dinh hoan thanh su menh su phu giao.
3,11,,93,92,费洛克：我们还是快点前进吧，天快黑了，这个森林经常有野猪出没。,"Ferok: Ta nen di nhanh. Troi sap toi, rung nay hay co heo rung."
4,0,,93,92,费洛克：爱伦，让我来解决这里的怪物吧，不然会被人认为是懦夫的。,"Ferok: Ailen, de toi xu ly quai o day, keo nguoi ta noi toi nhat gan."
4,1,,15,14,爱伦：……,Ailen:...
4,2,,42,41,爱伦：你确定还记得怎么战斗？,Ailen: Anh con nho cach chien dau chu?
4,3,,81,80,费洛克：当然记得，不要小看我费洛克，虽然比不上科勒斯。,"Ferok: Tat nhien. Dung coi thuong Ferok, du toi khong bang Koles."
4,4,,57,56,爱伦：那让我看看我们的大英雄忘记多少？,Ailen: Vay de xem dai anh hung cua ta quen bao nhieu.
4,5,1 2 5 21 3 0,66,65,（提示：下面进入教学，请按屏幕提示的数字！）,"(Goi y: Vao huong dan, hay bam so tren man hinh!)"
4,6,,61,60,费洛克：首先，2、4、6、8是向各个方向移动。,"Ferok: Dau tien, 2,4,6,8 de di cac huong."
4,7,,54,53,爱伦：还不错，没有给我们的师傅丢脸。,"Ailen: Kha lam, khong lam mat mat su phu."
4,8,,122,121,费洛克：还有更强的呢，要想制敌取胜使用技能是非常必要的，1、3、7、9分别对应4个技能。,"Ferok: Con chieu manh hon. Muon thang dich, dung Skill rat can. 1,3,7,9 ung voi 4 Skill."
4,9,,96,95,爱伦：技能的威力远远高于普通攻击，熟练使用技能能打出更高的连击。,Ailen: Skill manh hon don thuong. Dung thanh thao se tao combo cao hon.
4,10,44 2 5 47 3 0,156,155,爱伦：好了，看来师傅的担心是多余的了，费洛克，我们分头行动向哈斯曼尼城堡进发吧，我们要和科勒斯共同战斗。,"Ailen: Duoc roi, xem ra su phu lo thua. Ferok, ta chia duong toi lau dai Hasmani va chien dau cung Koles."
4,11,36 2 5 41 3 0,132,131,费洛克：恩，真希望快点到达哈斯曼尼城堡，我们分头行动吧，我们约定在前方的库斯曼平原汇合。,"Ferok: Uh, mong som toi lau dai Hasmani. Ta chia duong, hen gap o dong bang Kusman phia truoc."
4,12,,30,29,爱伦：嗯，那我走了！,"Ailen: Uh, toi di day!"
4,13,,48,47,费洛克：好的，爱伦，你要小心哦！,"Ferok: Duoc, Ailen, can than nhe!"
4,14,1 2 5 28 3 0,87,86,（提示：森林深处经常有野猪出没，注意躲避它们的冲撞攻击。）,(Goi y: Sau rung hay co heo rung. Hay ne cu huc cua chung.)
4,15,,42,41,（提示：试玩关卡不会死亡！）,(Goi y: Man choi thu khong chet!)
4,16,,51,50,爱伦：看来还不错，知道怎么移动了。,"Ailen: Kha lam, da biet di chuyen."
4,17,,96,95,费洛克：爱伦！不要这么小看我，好不好，我将来可是做大英雄的材料。,Ferok: Ailen! Dung coi thuong toi. Sau nay toi se thanh dai anh hung.
4,18,,69,68,爱伦：好，我们的未来大英雄，下一步该做什么呢？,"Ailen: Duoc, dai anh hung tuong lai. Buoc tiep theo la gi?"
4,19,18 2 5 31 3 0,94,93,费洛克：下一步当然是练习普通攻击啦，5键是对话确认和普通攻击键。,"Ferok: Tat nhien la tap danh thuong. Phim 5 de noi chuyen, OK va ATK thuong."
6,0,,66,65,费洛克：前面躺着一个人，啊，怎么那么像爱伦。,"Ferok: Phia truoc co nguoi nam. A, sao giong Ailen qua."
6,1,,75,74,费洛克：爱伦，你怎么了？（心想：爱伦不会有事的。）,"Ferok: Ailen, em sao vay? (Nghi: Ailen se khong sao dau.)"
6,2,,117,116,费洛克迫不及待的跑到爱伦身旁，发现爱伦静静的躺在地上，泪水止不住的流了出来……,"Ferok voi chay den ben Ailen. Thay co nam im tren dat, nuoc mat anh tuon roi..."
6,3,,165,164,费洛克：爱伦，你快醒醒啊，我该怎么办？我不该让你一个人独自行动的，都是我的错。（泪水已经模糊了费洛克的双眼。）,"Ferok: Ailen, tinh lai di! Toi phai lam sao? Toi khong nen de em di mot minh, tat ca la loi cua toi. (Nuoc mat lam mat Ferok mo di.)"
6,4,,72,71,就在这时，费洛克异常悲伤的时候，爱伦站了起来……,"Dung luc Ferok vo cung dau buon, Ailen dung day..."
6,5,,84,83,爱伦：喂，呆瓜，我还没死呢，刚刚是骗你玩的，看把你吓的。,"Ailen: Nay, do ngoc, toi chua chet. Vua roi lua anh thoi, xem anh so chua kia."
6,6,,18,17,费洛克：……,Ferok:...
6,7,,147,146,费洛克：爱伦，你吓死我了，我真的以为你出意外了呢，我还在想科勒斯会杀了我呢，我可答应他好好保护你。,"Ferok: Ailen, em lam toi so chet khiep. Toi tuong em gap nan. Toi con nghi Koles se giet toi, vi da hua bao ve em."
6,8,,69,68,爱伦：谁要你们保护了，科勒斯和你一样都是傻瓜。,Ailen: Ai can cac anh bao ve? Koles va anh deu la do ngoc.
6,9,,90,89,费洛克：爱伦，答应我一定要好好保护自己，你可是师父的乖乖女。,"Ferok: Ailen, hua voi toi phai tu bao ve minh. Em la hoc tro ngoan cua su phu."
6,10,,96,95,爱伦：放心吧，费洛克，我们快点前进吧，一定要完成师父交给的任务。,"Ailen: Yen tam, Ferok. Ta mau di tiep, nhat dinh hoan thanh NV su phu giao."
6,11,,18,17,费洛克：嗯。,Ferok: Uh.
6,12,,30,29,爱伦：那让我们走吧。,Ailen: Vay di nao.
8,0,,96,95,费洛克：穿过这个海滩就是库斯曼平原了，我得加快步伐与科勒斯汇合。,Ferok: Qua bai bien nay la dong bang Kusman. Toi phai nhanh de gap Koles.
9,0,0 2 3 4 3 0,10,9,3个月前,3 thg ago
9,1,0 2 3 22 3 0,66,65,费洛克、爱伦和科勒斯在勇士岛附近遇到了少女詹,"Ferok, Ailen va Koles gap co gai Jan gan dao Dung Si."
9,2,0 2 3 18 3 0,52,51,他们一起来到了勇士岛-一个陌生的岛屿,"Ho cung den dao Dung Si, mot hon dao la."
14,0,,78,77,万年冰王：你我素来无冤无仇，为何来到我的地盘打扰我？,"Bang Vuong: Ta va nguoi khong thu han, sao den dat cua ta pha roi?"
14,1,,123,122,法瑞克：你纵容冰山融化危及勇士岛的其他岛屿，我劝你快快放手，免得成为我的刀下亡魂。,"Ferok: Nguoi de bang tan, hai cac dao cua Dung Si. Dung lai ngay, keo mat mang duoi luoi kiem ta."
14,2,,126,125,万年冰王：哈哈，有点意思，强大的熔岩之力果然奏效了，伟大的哈斯曼尼陛下真是神机妙算。,"Bang Vuong: Ha ha, thu vi. Suc dung nham qua nhien co tac dung. Be ha Hasmani that than ky."
14,3,,54,53,法瑞克：多说无益，受死吧，你这怪物。,"Ferok: Noi nhieu vo ich. Chet di, quai vat."
14,4,,90,89,万年冰王：那就让你尝尝我这万年寒冰之力，你的亡魂将献给主人！,Bang Vuong: Vay nem suc bang van nam cua ta. Hon nguoi se dang cho chu nhan!
18,0,,54,53,幻灵将领：小子不错嘛，尽然能到这里。,"Tuong ao linh: Kha lam, nhoc. Den duoc tan day."
18,1,,60,59,法瑞克：你这幻灵界的怪物，我哥哥和詹呢？,"Ferok: Quai vat ao linh, anh ta va Jan dau?"
18,2,,195,194,幻灵将领：哈哈，这个问题还用问吗？他们此刻恐怕已经屈膝在我王哈斯曼尼陛下的脚下了，觉悟吧，我看你这勇士岛的勇士今天就会战死在这里！,"Tuong ao linh: Ha ha, con can hoi sao? Chac gio ho da quy duoi chan vua Hasmani. Chiu chet di, dung si dao Dung Si se chet o day!"
18,3,,87,86,法瑞克：幻灵的伪装已经被我识破，还有什么本事尽管拿出来吧！,Ferok: Ta da nhin thau lop nguy trang ao linh. Con ban linh gi thi dem ra di!
18,4,,45,44,幻灵将领：让你尝尝我的厉害吧！,Tuong ao linh: De nguoi nem suc manh cua ta!
21,0,,54,53,地狱之王扎昆复苏，整个大地都在颤抖！,"Zakun hoi sinh, dat troi rung!"
21,1,,99,98,扎昆：我被囚禁在地下一万年，而这一万年的怒火都将化为我强大的能量！,Zakun: Ta bi giam duoi dat mot van nam. Lua gian nay se thanh suc manh cua ta!
21,2,,39,38,扎昆：我的地狱奴仆们何在？,Zakun: No le dia nguc cua ta dau?
21,3,,33,32,扎昆：执行主人的命令！,Zakun: Thi hanh lenh chu nhan!
21,4,,57,56,扎昆：将这无限的怒火延伸到地狱的深渊！,Zakun: Dua con gian vo tan den vuc sau dia nguc!
21,5,8 2 3 11 3 0 12 2 3 14 3 0,72,71,与此同时，我们的费洛克和爱伦正战斗在艾尔森林……,"Luc do, Ferok va Ailen dang chien dau trong Rung Ael..."
26,0,,138,137,扎昆：我被囚禁了一万年，这一万年的仇恨都将发泄在你的身上，地狱深渊的奴仆们，消灭眼前的敌人。,"Zakun: Ta bi giam mot van nam. Thu han nay se do len nguoi. No le vuc sau dia nguc, diet ke dich truoc mat!"
26,1,13 0 0,60,59,扎昆：那么由我来解决掉你吧一万年的怒火！,"Zakun: Vay de ta tu tay xu nguoi, bang lua gian van nam!"
26,2,,138,137,强大的地狱之王被消灭了，等待你的将是魔王哈斯曼尼的最后一战，魔王哈斯曼尼的神殿终究在哪里呢？,Dia Nguc Vuong hung manh da bi diet. Cho doi ban la tran cuoi voi Ma Vuong Hasmani. Den tho cua Hasmani rot cuoc o dau?
29,0,10 2 5 11 3 0,51,50,费洛克：前面的好像是詹，过去看看。,Ferok: Phia truoc hinh nhu la Jan. Lai xem nao.
29,1,,36,35,费洛克：詹，你怎么样了？,"Ferok: Jan, co sao khong?"
29,2,,39,38,詹：我的宝贝，来，靠近点。,"Jan: Bao boi cua ta, lai gan day."
29,3,11 2 5 12 3 0,39,38,费洛克：你是谁？这不是詹。,Ferok: Ai day? Khong phai Jan.
29,4,,82,81,费洛克：你又是谁？（心想：怎么有两个詹呢，难道是幻想？),"Ferok: Con nguoi la ai? (Nghi: Sao co hai Jan, chang le ao giac?)"
29,5,,39,38,费洛克：詹，你到底在哪里？,"Ferok: Jan, cuoc cung co o dau?"
29,6,,66,65,费洛克：找不到詹，还是先回城找老头商量商量。,Ferok: Khong tim thay Jan. Ve thanh hoi lao gia truoc.
