section,index,refs,original_bytes,soft_limit_bytes,original,translated
2,34,,165,164,村长姜：勇士身手了得，我们最近又越到更大的麻烦了，而且此事必须尽快解决，因为它关联到我们岛上每个人的生命安全。,
2,35,,36,35,费洛克：啊，快说什么事？,
2,36,,273,272,村长姜：勇士岛由很多岛屿组成，北方的冰峰雪域、中部的夜色岛、下方的艾尔森林和扎昆山脉都危险重重，最近我们这里的水位有所上升，我怀疑是北方的冰峰雪域的雪在融化，还是要勇士前去查明原因。,
2,37,,84,83,费洛克：冰山？听起来很好玩的样子，我这就起程去冰峰雪域。,
2,38,,96,95,村长姜：冰封雪域就在地图的最北方，与热气球对话即可传送到大地图。,
2,39,,81,80,费洛克：村长，问题解决了，万年冰王已经败在了我的手下。,
2,40,,147,146,村长姜：咳，咳，我看未必，想那万年冰王有何能耐让冰山融化？一定是某种强大熔岩之力能量才能使其融化。,
2,41,,69,68,费洛克：熔岩之力？您的意思是万年冰王还有同伙？,
2,42,,168,167,村长姜：不错，光凭借冰王一人，难以让冰封千年甚至万年的冰山融化，所以一定是有另外一种具有强大火之力的怪物帮助他。,
2,43,,156,155,费洛克：这倒是，对了村长，在我和万年冰王交战之前它好像说了什么强大的熔岩之力、伟大的哈斯曼尼陛下什么的。,
2,44,,66,65,村长姜：看来冥冥中自有定数，该来的终于来了。,
2,45,,42,41,费洛克：村长，这是什么意思？,
2,46,,165,164,村长姜：勇士岛自古就是西国的一部分，但对它垂涎已久的哈斯曼尼一直想占领这里，我们的先人打败过很多次他们的进攻。,
2,47,,141,140,村长姜：传说哈斯曼尼在南方的扎昆山脉地下建造了一座宏伟的地下宫殿，潜伏千年的他终于还是露面了。,
2,48,11 2 5 12 3 0,48,47,爱伦：费洛克，不好了，詹不见了。,
2,49,,36,35,费洛克：啊，出了什么事？,
2,50,,123,122,爱伦：昨天说好和她一起去下方的艾尔森林去游玩，她先去了，可我到那就不见了她的身影。,
2,51,,141,140,村长姜：此事也许和哈斯曼尼有关，她既然是西国的某大小姐也就是哈斯曼尼的敌人，可能被作为人质了。,
2,52,,30,29,费洛克：那该怎么办？,
2,53,,96,95,村长姜：还是到艾尔森林去查查那里的情况，可能被困在那里也说不定。,
2,54,,39,38,费洛克：我这就去艾尔森林。,
2,55,,57,56,村长姜：大地图右下方艾尔森林已经开启。,
2,56,,66,65,费洛克：村长，我在艾尔森林没有找到詹的下落。,
2,57,,123,122,村长姜：勇士，你已经尽力了，爱伦似乎发现了一些眉目，她已经去了中部的夜色岛查看了。,
2,58,,108,107,费洛克：夜色岛？早就听说那里是幻灵出没之地，爱伦她怎么能独自一人去哪里？,
2,59,,129,128,村长姜：的确如此，哪里的幻灵变幻莫测，肉眼是无法分辨的，我苦苦劝他不要去，他还是不听。,
2,60,,39,38,费洛克：不行，我要去救她！,
2,61,,192,191,村长姜：要想去夜色岛必须得找到看穿幻灵虚实之物，此物名通天眼，可在铁匠桑坤处打造，当你收集到所有材料时可与铁匠对话以打造通天眼。,
2,62,,57,56,费洛克：我这就去寻找打造通天眼的材料！,
2,63,,78,77,村长姜：通天眼打造完成了，快快去夜色岛去看看情况吧！,
2,64,,54,53,村长姜：大地图中部的夜色岛已经开启！,
2,65,,75,74,费洛克：遭了，我在夜色岛并没有发现詹和爱伦的下落！,
2,66,,63,62,村长姜：看来他们真的被哈斯曼尼陛下抓去了。,
2,67,,30,29,费洛克：我要怎么做？,
2,68,,168,167,村长姜：哈斯曼尼陛下的两大得力助手之一的地狱之王正在蠢蠢欲动，已经查明了上次冰山融化一事就是他和万年冰王的阴谋。,
2,69,,45,44,费洛克：我这就去杀死地狱之王。,
2,70,46 2 3 49 3 0,168,167,村长姜：孩子，不要着急，鲁莽是解决不了问题的，地狱之王栖息在地下深处，那里酷热无比，唯有佩戴冰晶锁方可安然无恙。,
2,71,,48,47,费洛克：怎么样才能得到冰晶锁呢？,
2,72,,111,110,村长姜：你可以在铁匠桑坤处查看，当你收集到所有的材料时就可以在他那里打造。,
2,73,,156,155,村长姜：冰晶锁终于打造完成了，可以去挑战地狱之王了，从大地图的下方就可进入。（提示：扎昆山脉已经开启。）,
2,74,,75,74,费洛克：这次一定要铲除哈斯曼尼陛下的另一只“狗”。,
2,75,,42,41,村长姜：今天的任务都在这里。,
2,76,,61,60,进入大地图后，2、4、6、8控制小人物的移动。,
2,77,,75,74,村长姜：迷失者避风的港湾，勇士岛一定会坚持下去的。,
2,78,,54,53,流浪者：记住一点，勇士的“皮”要厚！,
2,79,,45,44,巫师罗宁：曾经的我也和你一样。,
3,0,,36,35,野猪：哼……（野猪叫声）,
3,1,,60,59,野人甲：快看，有野猪，今天不会饿肚子了。,
3,2,,30,29,野人乙：小猪，别跑。,
3,3,,24,23,野猪：哼……哼哼,
3,4,0 2 3 13 3 0,39,38,阳光明媚的艾尔森林深处……,
3,5,,66,65,费洛克：穿过艾尔森林就可以到哈斯曼尼城堡了。,
3,6,,105,104,爱伦：我们快点吧，科勒斯快支持不住了，我能感觉到他的力量正在慢慢减弱！,
3,7,,69,68,费洛克：爱伦，你说的对，向哈斯曼尼城堡进发吧。,
3,8,,102,101,爱伦：等等，费洛克，我能感觉到这里的危险，看，野人，让我来消灭他们！,
3,9,,57,56,费洛克：看来我们的爱伦是越来越强大了。,
3,10,,81,80,爱伦：那是当然，我们师兄妹三人一定会完成师傅的使命的。,
3,11,,93,92,费洛克：我们还是快点前进吧，天快黑了，这个森林经常有野猪出没。,
4,0,,93,92,费洛克：爱伦，让我来解决这里的怪物吧，不然会被人认为是懦夫的。,
4,1,,15,14,爱伦：……,
4,2,,42,41,爱伦：你确定还记得怎么战斗？,
4,3,,81,80,费洛克：当然记得，不要小看我费洛克，虽然比不上科勒斯。,
4,4,,57,56,爱伦：那让我看看我们的大英雄忘记多少？,
4,5,1 2 5 21 3 0,66,65,（提示：下面进入教学，请按屏幕提示的数字！）,
4,6,,61,60,费洛克：首先，2、4、6、8是向各个方向移动。,
4,7,,54,53,爱伦：还不错，没有给我们的师傅丢脸。,
4,8,,122,121,费洛克：还有更强的呢，要想制敌取胜使用技能是非常必要的，1、3、7、9分别对应4个技能。,
4,9,,96,95,爱伦：技能的威力远远高于普通攻击，熟练使用技能能打出更高的连击。,
4,10,44 2 5 47 3 0,156,155,爱伦：好了，看来师傅的担心是多余的了，费洛克，我们分头行动向哈斯曼尼城堡进发吧，我们要和科勒斯共同战斗。,
4,11,36 2 5 41 3 0,132,131,费洛克：恩，真希望快点到达哈斯曼尼城堡，我们分头行动吧，我们约定在前方的库斯曼平原汇合。,
4,12,,30,29,爱伦：嗯，那我走了！,
4,13,,48,47,费洛克：好的，爱伦，你要小心哦！,
4,14,1 2 5 28 3 0,87,86,（提示：森林深处经常有野猪出没，注意躲避它们的冲撞攻击。）,
4,15,,42,41,（提示：试玩关卡不会死亡！）,
4,16,,51,50,爱伦：看来还不错，知道怎么移动了。,
4,17,,96,95,费洛克：爱伦！不要这么小看我，好不好，我将来可是做大英雄的材料。,
4,18,,69,68,爱伦：好，我们的未来大英雄，下一步该做什么呢？,
4,19,18 2 5 31 3 0,94,93,费洛克：下一步当然是练习普通攻击啦，5键是对话确认和普通攻击键。,
6,0,,66,65,费洛克：前面躺着一个人，啊，怎么那么像爱伦。,
6,1,,75,74,费洛克：爱伦，你怎么了？（心想：爱伦不会有事的。）,
6,2,,117,116,费洛克迫不及待的跑到爱伦身旁，发现爱伦静静的躺在地上，泪水止不住的流了出来……,
6,3,,165,164,费洛克：爱伦，你快醒醒啊，我该怎么办？我不该让你一个人独自行动的，都是我的错。（泪水已经模糊了费洛克的双眼。）,
6,4,,72,71,就在这时，费洛克异常悲伤的时候，爱伦站了起来……,
6,5,,84,83,爱伦：喂，呆瓜，我还没死呢，刚刚是骗你玩的，看把你吓的。,
6,6,,18,17,费洛克：……,
6,7,,147,146,费洛克：爱伦，你吓死我了，我真的以为你出意外了呢，我还在想科勒斯会杀了我呢，我可答应他好好保护你。,
6,8,,69,68,爱伦：谁要你们保护了，科勒斯和你一样都是傻瓜。,
6,9,,90,89,费洛克：爱伦，答应我一定要好好保护自己，你可是师父的乖乖女。,
6,10,,96,95,爱伦：放心吧，费洛克，我们快点前进吧，一定要完成师父交给的任务。,
6,11,,18,17,费洛克：嗯。,
6,12,,30,29,爱伦：那让我们走吧。,
8,0,,96,95,费洛克：穿过这个海滩就是库斯曼平原了，我得加快步伐与科勒斯汇合。,
9,0,0 2 3 4 3 0,10,9,3个月前,
9,1,0 2 3 22 3 0,66,65,费洛克、爱伦和科勒斯在勇士岛附近遇到了少女詹,
9,2,0 2 3 18 3 0,52,51,他们一起来到了勇士岛-一个陌生的岛屿,
14,0,,78,77,万年冰王：你我素来无冤无仇，为何来到我的地盘打扰我？,
14,1,,123,122,法瑞克：你纵容冰山融化危及勇士岛的其他岛屿，我劝你快快放手，免得成为我的刀下亡魂。,
14,2,,126,125,万年冰王：哈哈，有点意思，强大的熔岩之力果然奏效了，伟大的哈斯曼尼陛下真是神机妙算。,
14,3,,54,53,法瑞克：多说无益，受死吧，你这怪物。,
14,4,,90,89,万年冰王：那就让你尝尝我这万年寒冰之力，你的亡魂将献给主人！,
18,0,,54,53,幻灵将领：小子不错嘛，尽然能到这里。,
18,1,,60,59,法瑞克：你这幻灵界的怪物，我哥哥和詹呢？,
18,2,,195,194,幻灵将领：哈哈，这个问题还用问吗？他们此刻恐怕已经屈膝在我王哈斯曼尼陛下的脚下了，觉悟吧，我看你这勇士岛的勇士今天就会战死在这里！,
18,3,,87,86,法瑞克：幻灵的伪装已经被我识破，还有什么本事尽管拿出来吧！,
18,4,,45,44,幻灵将领：让你尝尝我的厉害吧！,
21,0,,54,53,地狱之王扎昆复苏，整个大地都在颤抖！,
21,1,,99,98,扎昆：我被囚禁在地下一万年，而这一万年的怒火都将化为我强大的能量！,
21,2,,39,38,扎昆：我的地狱奴仆们何在？,
21,3,,33,32,扎昆：执行主人的命令！,
21,4,,57,56,扎昆：将这无限的怒火延伸到地狱的深渊！,
21,5,8 2 3 11 3 0 12 2 3 14 3 0,72,71,与此同时，我们的费洛克和爱伦正战斗在艾尔森林……,
26,0,,138,137,扎昆：我被囚禁了一万年，这一万年的仇恨都将发泄在你的身上，地狱深渊的奴仆们，消灭眼前的敌人。,
26,1,13 0 0,60,59,扎昆：那么由我来解决掉你吧一万年的怒火！,
26,2,,138,137,强大的地狱之王被消灭了，等待你的将是魔王哈斯曼尼的最后一战，魔王哈斯曼尼的神殿终究在哪里呢？,
29,0,10 2 5 11 3 0,51,50,费洛克：前面的好像是詹，过去看看。,
29,1,,36,35,费洛克：詹，你怎么样了？,
29,2,,39,38,詹：我的宝贝，来，靠近点。,
29,3,11 2 5 12 3 0,39,38,费洛克：你是谁？这不是詹。,
29,4,,82,81,费洛克：你又是谁？（心想：怎么有两个詹呢，难道是幻想？),
29,5,,39,38,费洛克：詹，你到底在哪里？,
29,6,,66,65,费洛克：找不到詹，还是先回城找老头商量商量。,
